stazione,id_stazione,data_run,data_previsione,anticipo_giorni,temp_media_24h,rh_media_24h,vpd_medio_24h
Capalbio,capalbio,2026-08-12,2026-08-13,1,31.94,38.1,3.1226
Capalbio,capalbio,2026-08-12,2026-08-14,2,31.6,30.94,3.3748
Capalbio,capalbio,2026-08-13,2026-08-14,1,31.43,36.67,3.1292
Capalbio,capalbio,2026-08-13,2026-08-15,2,29.74,40.35,2.5837
Capalbio,capalbio,2026-08-14,2026-08-15,1,29.59,41.17,2.5478
Capalbio,capalbio,2026-08-14,2026-08-16,2,28.62,69.31,1.374
Capalbio,capalbio,2026-08-16,2026-08-17,1,27.21,76.4,0.9255
Capalbio,capalbio,2026-08-16,2026-08-18,2,27.68,65.08,1.4624
Capalbio,capalbio,2026-08-17,2026-08-18,1,27.4,65.75,1.3895
Capalbio,capalbio,2026-08-17,2026-08-19,2,27.48,75.73,0.9732
