stazione,id_stazione,data_run,data_previsione,anticipo_giorni,temp_media_24h,rh_media_24h,vpd_medio_24h
Rispescia (Alberese),rispescia,2026-08-12,2026-08-13,1,31.69,38.96,3.1098
Rispescia (Alberese),rispescia,2026-08-12,2026-08-14,2,31.22,34.02,3.2006
Rispescia (Alberese),rispescia,2026-08-13,2026-08-14,1,31.17,37.21,3.0695
Rispescia (Alberese),rispescia,2026-08-13,2026-08-15,2,29.59,40.77,2.5964
Rispescia (Alberese),rispescia,2026-08-14,2026-08-15,1,29.77,43.35,2.5167
Rispescia (Alberese),rispescia,2026-08-14,2026-08-16,2,28.5,70.12,1.3044
Rispescia (Alberese),rispescia,2026-08-16,2026-08-17,1,27.47,68.69,1.2448
Rispescia (Alberese),rispescia,2026-08-16,2026-08-18,2,27.98,63.75,1.5227
Rispescia (Alberese),rispescia,2026-08-17,2026-08-18,1,27.73,65.4,1.4181
Rispescia (Alberese),rispescia,2026-08-17,2026-08-19,2,27.84,71.69,1.1957
Rispescia (Alberese),rispescia,2026-08-18,2026-08-19,1,27.84,71.69,1.1957
Rispescia (Alberese),rispescia,2026-08-18,2026-08-20,2,28.7,69.94,1.2767
Rispescia (Alberese),rispescia,2026-08-19,2026-08-20,1,28.88,72.44,1.203
Rispescia (Alberese),rispescia,2026-08-19,2026-08-21,2,26.25,84.77,0.5421
Rispescia (Alberese),rispescia,2026-08-21,2026-08-22,1,26.8,66.48,1.3416
Rispescia (Alberese),rispescia,2026-08-21,2026-08-23,2,26.0,54.08,1.71
Rispescia (Alberese),rispescia,2026-08-22,2026-08-23,1,26.32,45.33,2.0186
Rispescia (Alberese),rispescia,2026-08-22,2026-08-24,2,27.13,50.52,1.9405
Rispescia (Alberese),rispescia,2026-08-23,2026-08-24,1,26.96,50.75,1.9281
Rispescia (Alberese),rispescia,2026-08-23,2026-08-25,2,26.23,75.58,0.8489
Rispescia (Alberese),rispescia,2026-08-24,2026-08-25,1,26.11,73.69,0.9407
Rispescia (Alberese),rispescia,2026-08-24,2026-08-26,2,26.74,70.04,1.1991
Rispescia (Alberese),rispescia,2026-08-25,2026-08-26,1,27.17,65.77,1.3946
Rispescia (Alberese),rispescia,2026-08-25,2026-08-27,2,28.11,68.71,1.3264
Rispescia (Alberese),rispescia,2026-08-26,2026-08-27,1,28.65,63.65,1.5976
Rispescia (Alberese),rispescia,2026-08-26,2026-08-28,2,30.12,62.31,1.7981
Rispescia (Alberese),rispescia,2026-08-27,2026-08-28,1,30.38,61.92,1.7899
Rispescia (Alberese),rispescia,2026-08-27,2026-08-29,2,28.74,66.0,1.461
Rispescia (Alberese),rispescia,2026-08-28,2026-08-29,1,28.72,59.79,1.7327
Rispescia (Alberese),rispescia,2026-08-28,2026-08-30,2,26.91,48.08,1.9612
Rispescia (Alberese),rispescia,2026-08-30,2026-08-31,1,25.88,66.73,1.306
Rispescia (Alberese),rispescia,2026-08-30,2026-09-01,2,27.11,55.31,1.8257
Rispescia (Alberese),rispescia,2026-08-31,2026-09-01,1,27.13,57.35,1.7385
Rispescia (Alberese),rispescia,2026-08-31,2026-09-02,2,26.72,55.92,1.71
Rispescia (Alberese),rispescia,2026-09-01,2026-09-02,1,26.65,58.44,1.631
Rispescia (Alberese),rispescia,2026-09-01,2026-09-03,2,26.85,60.19,1.6532
Rispescia (Alberese),rispescia,2026-09-02,2026-09-03,1,26.64,57.85,1.7049
Rispescia (Alberese),rispescia,2026-09-02,2026-09-04,2,27.75,53.9,1.9125
Rispescia (Alberese),rispescia,2026-09-03,2026-09-04,1,27.77,51.73,2.0054
Rispescia (Alberese),rispescia,2026-09-03,2026-09-05,2,26.59,66.94,1.3301
