stazione,id_stazione,data_run,data_previsione,anticipo_giorni,temp_media_24h,rh_media_24h,vpd_medio_24h
San Donato (Orbetello),sandonato,2026-08-12,2026-08-13,1,30.76,45.54,2.6409
San Donato (Orbetello),sandonato,2026-08-12,2026-08-14,2,30.81,36.83,3.0264
San Donato (Orbetello),sandonato,2026-08-13,2026-08-14,1,30.44,41.69,2.7589
San Donato (Orbetello),sandonato,2026-08-13,2026-08-15,2,29.24,43.94,2.4376
San Donato (Orbetello),sandonato,2026-08-14,2026-08-15,1,29.08,46.77,2.3033
San Donato (Orbetello),sandonato,2026-08-14,2026-08-16,2,28.18,73.46,1.1625
San Donato (Orbetello),sandonato,2026-08-16,2026-08-17,1,27.37,73.73,1.0717
San Donato (Orbetello),sandonato,2026-08-16,2026-08-18,2,27.53,67.67,1.3407
San Donato (Orbetello),sandonato,2026-08-17,2026-08-18,1,27.47,65.17,1.4058
San Donato (Orbetello),sandonato,2026-08-17,2026-08-19,2,27.45,74.17,1.0478
San Donato (Orbetello),sandonato,2026-08-18,2026-08-19,1,27.45,74.17,1.0478
San Donato (Orbetello),sandonato,2026-08-18,2026-08-20,2,28.66,71.65,1.1694
San Donato (Orbetello),sandonato,2026-08-19,2026-08-20,1,28.81,74.75,1.057
San Donato (Orbetello),sandonato,2026-08-19,2026-08-21,2,27.01,81.98,0.658
San Donato (Orbetello),sandonato,2026-08-21,2026-08-22,1,27.14,66.9,1.2951
San Donato (Orbetello),sandonato,2026-08-21,2026-08-23,2,25.91,57.31,1.6337
